text,label
pornandroidiphoneipadsexxxx oldyoung german milf getting young old cock pussy,1
pornandroidiphoneipadsexxxx xxx hairy alicia silver amp tinslee reagan hairy pussy,1
throwback bitches amp drinking mikes bc sucked,1
wcw bad bitches,1
wrongfilmquotes everytime come kitchen kitchen goddamn refrigerator eatin pussy,1
rt killer line josh smith dropped killer trash talk line kenneth,2
plus sheryl crow,2
rt guiltypleasure watching niggers fight youtubevineig,1
rt hop hoe rt come,1
gucci b rude shit lol thats nice bitch aint worth quarter,1
yall boring sex nope lick side bitch face im hittin back,1
course cooders nudes trash lives dmv expect,1
mike calls tbird,2
hate rt cyrus ho rookie slut getting cash date nope nope nope,1
rt youre trying relax pussy shooting light beams,1
rt smh bitch sellin ass,1
pussy imma assume baby likethe day,1
rt mexican bitches shaped like silly puddy,1
rt cheap hair cheap dresses cheap shoes tacky ass little bitches,1
fucking god bruh birds southridge front house,1
explore pussy,1
bucket rt trash bitches sons,1
nerves worked cos monkey,2
youve good friend glad got honkie ass lets fuck shit year,1
new wave bitches wearing mini shovels hand,1
rt bitches get bat sumn ak voice,1
rt wake bae hoe tl,1
rt welp rt prettier bitch usually loses lol science,1
foh rt idgt rt good pussy dont neva get tired,1
rt hoes selfish,1
rt yall excited strip mall built louisiana claiborne bitch gone fiya,1
dont em girl lol rt yall threesomes girl eat pussy,1
como se llama el nio ms delgado de japn yocomo poko gino,1
got paid million dollars eat nugget shit would u eat smash bitch,1
lol bitch funny min tossed ass curb,1
denzy tryna hoe broski izzy,1
chunky nugs doesnt even hook like,1
even though trunks one main characters dragon ball gt lowkey weak weak nothing lowkey shit trash,1
ion wanna hear hoes faker momma dees teeth,1
rt another jersey fail cunt pics needed animal dem coloreds wack,1
flappy bird shit joke real tho,1
im mud shark black friends makes perfect sense idiotic,2
itsy bitsy teeny weeny yellow pockadot bikini polk ashton polk,2
im suppose eat yo booty bitch wym,1
cant remember girls ive smashed godhoe shit technically takes,1
michael pineda hides pine taron neck fact yankees cheat go red sox boston,2
bruh im telling got zebra print bed sheets hoe,1
girls fucking retarded back started cramping man double ds,1
theres difference actually crazy amp aspiring crazy real shit cant stand fake crazy bitches,1
man bouta text bitches ever told lmao,1
u ask every bitch gayor bi,0
u need someones church negrour absolutely right work sundays still excuse,1
vienna sausage clit suck dat bitch dont yall eva believe colored man dont eat pussay,1
whats symptoms ebola stomach hurting b im nervousbitch better drinking bottle,1
